date,id,title,countries,keywords,languages,outlets
2020-09-09,https://euvsdisinfo.eu/report/the-western-secret-agent-alexei-navalny-was-evacuated-from-russia-by-its-sponsor-which-falsely-pretends-he-was-poisoned/,Europe evacuated its secret agent Navalny; the poisoning is fake,Russia+Germany,Conspiracy theory+novichok+Alexei Navalny+Conspiracy,Russian,
2020-09-09,https://euvsdisinfo.eu/report/russiagate-is-a-deep-state-backed-conspiracy-theory/,Russiagate is a Deep State-backed conspiracy theory,Russia+US,Conspiracy theory+election meddling+Mainstream media+Deep state+Manipulated elections/referendum+Hillary Clinton+Donald Trump+Conspiracy,English,
2020-09-09,https://euvsdisinfo.eu/report/attack-navalny-false-flag-operation/,"Attack on Navalny was a false flag operation, just as the Skripal affair",Russia,novichok+false flag+Alexei Navalny,Spanish+Castilian,
2020-09-09,https://euvsdisinfo.eu/report/west-navalny-valuable-dead-than-alive-propaganda-tool/,"To the West, Navalny is more valuable dead than alive as a propaganda tool",Russia,novichok+Alexei Navalny+The West,Spanish+Castilian,
2020-09-09,https://euvsdisinfo.eu/report/germans-invented-bottle-novichok-hide-contaminated-navalnys-body-fluids/,The Germans invented the bottle with Novichok to hide that they contaminated Navalny’s body fluids in Berlin,Russia+Germany,novichok+false flag+Alexei Navalny,Spanish+Castilian,
2020-09-08,https://euvsdisinfo.eu/report/navalny-is-an-agent-of-the-russian-special-services/,Navalny is an agent of the Russian special services,Russia,Alexei Navalny,Russian,
2020-09-08,https://euvsdisinfo.eu/report/the-western-hysteria-about-russia-is-part-of-a-desire-to-inflict-damage/,The Western hysteria about Russia is part of a desire to attack Russia,Russia,Conspiracy theory+Nord Stream 2+West+Protest+Alexei Navalny+Encircling Russia+Russophobia+Conspiracy+The West,Arabic,
2020-09-08,https://euvsdisinfo.eu/report/kyiv-doesnt-recognise-the-luhansk-and-donetsk-peoples-republics-as-ukrainian-territory/,Kyiv doesn't recognise the Luhansk and Donetsk People's Republics as Ukrainian territory,Ukraine,Eastern Ukraine+LNR+War in Ukraine+DPR+Donbas+Elections,Russian,
2020-09-08,https://euvsdisinfo.eu/report/ukraine-continues-policy-of-genocide-because-it-will-not-buy-russian-covid-vaccine/,"Ukraine continues ""policy of genocide"" because it will not buy Russian COVID vaccine",Russia+Ukraine+US,coronavirus+vaccination+Genocide,Russian,
2020-09-08,https://euvsdisinfo.eu/report/germanys-deep-state-use-navalny-to-force-merkel-to-scrap-nord-stream-2/,Germany's Deep State use Navalny to force Merkel to scrap Nord Stream 2,Russia+Germany,Conspiracy theory+novichok+Nord Stream 2+Alexei Navalny+Deep state+Angela Merkel,English,
